～えき,өртөө,Мэгуро өртөөнөөс алхаад ойролцоогоор 3 минут болно.,... station,めぐろ駅から あるいて ３ぷんぐらいです,It's about 3 minutes walk from Meguro station.
～えん,иен,Энэ бол 10000 иен.,... yen,"これは 10,000円です","This is 10,000 yen."
～かい,давхар,Миний өрөө 2 давхарт.,... floor,わたしの へやは 2かいです,My room is on the second floor.
～かい,удаа,Би энэ киног 2 удаа үзсэн.,... times,このえいがを 2かい みました,I watched this movie twice.
～かかん,... өдрийн турш (хугацаа),,for ... day(s),いちに、ふつか(かん)、みっかかん・・・ ,"One, two, three days"
～かげつ,... сарын турш (хугацаа),"1 сарын турш, 2 сарын турш , 3 сарын турш.",(for) ... month(s),いっか月、にか月、さんか月・・・ ,"One month, two months, three months …"
～かた,арга,Хийх аргыг нь заагаад өгөөч,how to ...,つかいかたを おしえてください,Please teach me how to use it.
～がつ,сар,"1-дүгээр сар, 2-дугаар сар, 3-дугаар сар",... month,1月、2月、3月・・・," January, February, March …"
～がります,,Хүүхдүүд диснейлэнд явахыг хүсдэг,(third person) wants to ... [「〜たい」のstem]＋[てform of がります]＋ います,こどもたちは ディズニーランドにいきたがっています,Children want to go to Disneyland.
～がわ,тал,Зүүн талд алхана.,... side,ひだりがわを あるきます,Walk on the left side.
～キロ,кг,,... kg =,1キロ、2キロ、3キロ・・・ ,"1 kg, 2 kg, 3 kg …"
～キロ,км,10 гаруй километр гүйсэн,... km = キロメートル,10キロぐらい はしりました,I ran about 10 km.
～くらい/ぐらい,"ойролцоогоор, гаруй",2 цаг орчим хичээлээ хийсэн,about ...,2じかんぐらい べんきょうしました,I studied for about 2 hours.
～グラム,грам,"1 грамм, 2 грамм, 3 грамм",... gram,"1グラム、2グラム、3グラム・・・ 1 gram, 2 gram, 3 gram ...",
～こ,* жижиг зүйл тоолох нөхцөл,,counter for small object,"いっこ、にこ、さんこ・・・ 1, 2, 3 (small objects) ...",
～ご,хэл,"Япон хэл, англи хэл, хятад хэл",... language,"にほん語、えい語、ちゅうごく語・・・ Japanese, English, Chinese ...",
～ごろ,үед,2 цагийн үед тэнд очно.,around ... (for time),2じごろに そちらに いきます,I will go there around 2 o'clock.
～さい,нас,"1 настай, 2 настай, 3 настай",... year(s) old,"いっさい、にさい、さんさい・・・ 1 year old, 2 years old, 3 years old ...",
